Mayor,Councillor,Length
Andy Mitchell,Brad Sinclair,3387
Andy Mitchell,Donna Ballantyne,3392
Ron Black,Brad Sinclair,3383
Linda Marlene Eales,ABSTAIN,3394
ABSTAIN,Donna Ballantyne,3393
ABSTAIN,Donna Ballantyne,3388
Linda Marlene Eales,Brad Sinclair,3390
Andy Mitchell,ABSTAIN,3388
ABSTAIN,Donna Ballantyne,3384
ABSTAIN,Brad Sinclair,3386
Ron Black,Brad Sinclair,3383
Linda Marlene Eales,Donna Ballantyne,3393
ABSTAIN,Donna Ballantyne,3389
ABSTAIN,Brad Sinclair,3384
Ron Black,ABSTAIN,3385
Andy Mitchell,ABSTAIN,3393
Andy Mitchell,Donna Ballantyne,3392
ABSTAIN,Brad Sinclair,3385
Andy Mitchell,Brad Sinclair,3389
ABSTAIN,Brad Sinclair,3384
ABSTAIN,ABSTAIN,3349
Andy Mitchell,Brad Sinclair,3388
Ron Black,Brad Sinclair,3384
ABSTAIN,ABSTAIN,3348
Ron Black,ABSTAIN,3387
Andy Mitchell,Donna Ballantyne,3389
Linda Marlene Eales,ABSTAIN,3396
Linda Marlene Eales,Donna Ballantyne,3397
Linda Marlene Eales,Brad Sinclair,3392
Ron Black,ABSTAIN,3386
Ron Black,Donna Ballantyne,3388
Andy Mitchell,Brad Sinclair,3390
Ron Black,ABSTAIN,3385
Ron Black,Brad Sinclair,3382
Linda Marlene Eales,ABSTAIN,3396
Ron Black,Donna Ballantyne,3386
Linda Marlene Eales,Donna Ballantyne,3394
Andy Mitchell,Donna Ballantyne,3391
Linda Marlene Eales,Donna Ballantyne,3392
Linda Marlene Eales,Donna Ballantyne,3394
ABSTAIN,Donna Ballantyne,3389
ABSTAIN,Donna Ballantyne,3387
Andy Mitchell,Donna Ballantyne,3389
Andy Mitchell,Brad Sinclair,3389
Linda Marlene Eales,Brad Sinclair,3390
Andy Mitchell,ABSTAIN,3386
Andy Mitchell,Donna Ballantyne,3389
Ron Black,Brad Sinclair,3382
ABSTAIN,Brad Sinclair,3384
ABSTAIN,ABSTAIN,3348
Andy Mitchell,Donna Ballantyne,3390
Linda Marlene Eales,Donna Ballantyne,3394
Ron Black,Donna Ballantyne,3388
Andy Mitchell,Brad Sinclair,3386
Ron Black,Brad Sinclair,3382
ABSTAIN,Brad Sinclair,3388
Linda Marlene Eales,Donna Ballantyne,3400
Ron Black,Brad Sinclair,3385
Linda Marlene Eales,Brad Sinclair,3389
Ron Black,Brad Sinclair,3381
Andy Mitchell,Brad Sinclair,3387
Andy Mitchell,Donna Ballantyne,3387
Andy Mitchell,Donna Ballantyne,3390
Linda Marlene Eales,ABSTAIN,3393
Ron Black,ABSTAIN,3384
Linda Marlene Eales,Donna Ballantyne,3394
ABSTAIN,Donna Ballantyne,3388
Linda Marlene Eales,Brad Sinclair,3392
Linda Marlene Eales,Brad Sinclair,3390
Andy Mitchell,Brad Sinclair,3388
ABSTAIN,Brad Sinclair,3388
Ron Black,Donna Ballantyne,3386
Linda Marlene Eales,ABSTAIN,3396
Linda Marlene Eales,Donna Ballantyne,3395
Andy Mitchell,Donna Ballantyne,3392
ABSTAIN,ABSTAIN,3348
ABSTAIN,ABSTAIN,3348
Ron Black,Donna Ballantyne,3386
ABSTAIN,Brad Sinclair,3387
Andy Mitchell,Brad Sinclair,3388
Andy Mitchell,ABSTAIN,3389
Ron Black,Brad Sinclair,3380
Linda Marlene Eales,Brad Sinclair,3390
Ron Black,Donna Ballantyne,3386
Ron Black,Donna Ballantyne,3386
Andy Mitchell,Brad Sinclair,3386
Andy Mitchell,Brad Sinclair,3389
Andy Mitchell,Brad Sinclair,3387
Linda Marlene Eales,Brad Sinclair,3392
Andy Mitchell,Donna Ballantyne,3391
Linda Marlene Eales,ABSTAIN,3395
ABSTAIN,ABSTAIN,3347
Ron Black,Donna Ballantyne,3388
Andy Mitchell,ABSTAIN,3389
Andy Mitchell,Brad Sinclair,3388
Andy Mitchell,Donna Ballantyne,3391
Andy Mitchell,Brad Sinclair,3385
Linda Marlene Eales,Brad Sinclair,3391
Ron Black,Brad Sinclair,3383
ABSTAIN,ABSTAIN,3347
Linda Marlene Eales,ABSTAIN,3393
ABSTAIN,Brad Sinclair,3389
Ron Black,Donna Ballantyne,3387
ABSTAIN,ABSTAIN,3346
Linda Marlene Eales,Donna Ballantyne,3397
Andy Mitchell,Donna Ballantyne,3389
Linda Marlene Eales,Brad Sinclair,3391
Andy Mitchell,Donna Ballantyne,3390
Andy Mitchell,ABSTAIN,3389
Ron Black,Donna Ballantyne,3386
ABSTAIN,Donna Ballantyne,3388
ABSTAIN,Donna Ballantyne,3389
ABSTAIN,Donna Ballantyne,3388
ABSTAIN,ABSTAIN,3346
Andy Mitchell,ABSTAIN,3391
Andy Mitchell,Brad Sinclair,3385
Linda Marlene Eales,Donna Ballantyne,3396
ABSTAIN,Brad Sinclair,3386
Linda Marlene Eales,Brad Sinclair,3390
Ron Black,Donna Ballantyne,3386
Ron Black,Brad Sinclair,3383
Linda Marlene Eales,ABSTAIN,3391
Ron Black,Brad Sinclair,3382
ABSTAIN,Brad Sinclair,3385
Linda Marlene Eales,ABSTAIN,3396
Andy Mitchell,ABSTAIN,3388
Linda Marlene Eales,Donna Ballantyne,3391
Linda Marlene Eales,Donna Ballantyne,3393
Andy Mitchell,Donna Ballantyne,3393
Andy Mitchell,ABSTAIN,3388
Andy Mitchell,Brad Sinclair,3386
Ron Black,Donna Ballantyne,3383
Linda Marlene Eales,Brad Sinclair,3390
ABSTAIN,ABSTAIN,3348
ABSTAIN,Donna Ballantyne,3388
Ron Black,ABSTAIN,3387
Andy Mitchell,Donna Ballantyne,3390
Andy Mitchell,Brad Sinclair,3385
ABSTAIN,Brad Sinclair,3385
Ron Black,ABSTAIN,3385
Andy Mitchell,Brad Sinclair,3385
Ron Black,Donna Ballantyne,3388
Linda Marlene Eales,ABSTAIN,3393
Andy Mitchell,Brad Sinclair,3386
Ron Black,ABSTAIN,3385
ABSTAIN,ABSTAIN,3348
Ron Black,Donna Ballantyne,3386
Linda Marlene Eales,Donna Ballantyne,3395
Andy Mitchell,ABSTAIN,3388
Andy Mitchell,ABSTAIN,3387
Ron Black,Brad Sinclair,3382
Ron Black,Brad Sinclair,3382
ABSTAIN,ABSTAIN,3346
Andy Mitchell,Brad Sinclair,3385
Linda Marlene Eales,Donna Ballantyne,3392
ABSTAIN,Donna Ballantyne,3389
Andy Mitchell,Brad Sinclair,3388
Ron Black,Donna Ballantyne,3384
ABSTAIN,Donna Ballantyne,3387
Linda Marlene Eales,ABSTAIN,3393
Andy Mitchell,Brad Sinclair,3386
ABSTAIN,ABSTAIN,3347
ABSTAIN,Brad Sinclair,3383
Linda Marlene Eales,ABSTAIN,3392
Andy Mitchell,ABSTAIN,3391
Linda Marlene Eales,Brad Sinclair,3391
Andy Mitchell,ABSTAIN,3388
Andy Mitchell,ABSTAIN,3388
Ron Black,Brad Sinclair,3386
Linda Marlene Eales,Donna Ballantyne,3395
Ron Black,Brad Sinclair,3381
ABSTAIN,Donna Ballantyne,3386
ABSTAIN,Brad Sinclair,3386
Linda Marlene Eales,Brad Sinclair,3390
Linda Marlene Eales,Donna Ballantyne,3396
Linda Marlene Eales,Donna Ballantyne,3393
ABSTAIN,Brad Sinclair,3387
Ron Black,Donna Ballantyne,3385
Andy Mitchell,Donna Ballantyne,3389
Andy Mitchell,Brad Sinclair,3388
Andy Mitchell,Brad Sinclair,3386
Andy Mitchell,Donna Ballantyne,3392
Ron Black,ABSTAIN,3385
Ron Black,Brad Sinclair,3384
Ron Black,Brad Sinclair,3386
Ron Black,Brad Sinclair,3380
Linda Marlene Eales,ABSTAIN,3394
ABSTAIN,Brad Sinclair,3387
ABSTAIN,Brad Sinclair,3387
Andy Mitchell,ABSTAIN,3391
Andy Mitchell,ABSTAIN,3390
Ron Black,Donna Ballantyne,3387
Andy Mitchell,ABSTAIN,3388
Ron Black,Donna Ballantyne,3383
ABSTAIN,Brad Sinclair,3388
Andy Mitchell,Brad Sinclair,3385
Ron Black,Brad Sinclair,3384
Andy Mitchell,Donna Ballantyne,3387
Ron Black,Donna Ballantyne,3386
Linda Marlene Eales,Donna Ballantyne,3394
Linda Marlene Eales,ABSTAIN,3394
Linda Marlene Eales,ABSTAIN,3396
ABSTAIN,Donna Ballantyne,3387
Ron Black,Brad Sinclair,3385
Andy Mitchell,Donna Ballantyne,3389
Linda Marlene Eales,Brad Sinclair,3390
Andy Mitchell,ABSTAIN,3390
Andy Mitchell,Brad Sinclair,3387
Andy Mitchell,ABSTAIN,3387
ABSTAIN,ABSTAIN,3349
ABSTAIN,Brad Sinclair,3386
Linda Marlene Eales,Brad Sinclair,3392
ABSTAIN,Brad Sinclair,3385
Ron Black,ABSTAIN,3384
Andy Mitchell,ABSTAIN,3389
Andy Mitchell,ABSTAIN,3393
Andy Mitchell,Brad Sinclair,3388
Ron Black,Donna Ballantyne,3391
ABSTAIN,Donna Ballantyne,3389
Ron Black,ABSTAIN,3387
Ron Black,ABSTAIN,3386
ABSTAIN,Donna Ballantyne,3390
Andy Mitchell,Brad Sinclair,3389
Andy Mitchell,ABSTAIN,3389
ABSTAIN,Brad Sinclair,3384
Ron Black,Brad Sinclair,3381
ABSTAIN,ABSTAIN,3349
Andy Mitchell,Donna Ballantyne,3388
Andy Mitchell,ABSTAIN,3389
Ron Black,Brad Sinclair,3383
Linda Marlene Eales,Donna Ballantyne,3398
ABSTAIN,Brad Sinclair,3388
Ron Black,Brad Sinclair,3381
Ron Black,ABSTAIN,3388
Andy Mitchell,ABSTAIN,3389
Andy Mitchell,ABSTAIN,3389
Linda Marlene Eales,ABSTAIN,3390
Andy Mitchell,Brad Sinclair,3383
ABSTAIN,Donna Ballantyne,3387
Linda Marlene Eales,Donna Ballantyne,3394
Ron Black,ABSTAIN,3387
ABSTAIN,Brad Sinclair,3386
ABSTAIN,Donna Ballantyne,3389
Ron Black,Donna Ballantyne,3387
ABSTAIN,ABSTAIN,3345
Ron Black,Brad Sinclair,3387
Andy Mitchell,Donna Ballantyne,3391
Ron Black,ABSTAIN,3387
Andy Mitchell,Donna Ballantyne,3390
Andy Mitchell,Brad Sinclair,3387
Andy Mitchell,Donna Ballantyne,3388
Ron Black,ABSTAIN,3387
Linda Marlene Eales,Brad Sinclair,3387
Ron Black,Donna Ballantyne,3386
Linda Marlene Eales,ABSTAIN,3395
Ron Black,ABSTAIN,3387
Linda Marlene Eales,ABSTAIN,3397
Ron Black,Brad Sinclair,3385
Ron Black,Donna Ballantyne,3387
Ron Black,Donna Ballantyne,3387
ABSTAIN,ABSTAIN,3347
Linda Marlene Eales,Brad Sinclair,3391
ABSTAIN,Donna Ballantyne,3390
Ron Black,Donna Ballantyne,3385
Andy Mitchell,Donna Ballantyne,3390
Ron Black,Brad Sinclair,3383
Ron Black,Donna Ballantyne,3383
Andy Mitchell,Brad Sinclair,3384
Ron Black,ABSTAIN,3382
Andy Mitchell,ABSTAIN,3390
Ron Black,Brad Sinclair,3384
Linda Marlene Eales,ABSTAIN,3393
Linda Marlene Eales,Donna Ballantyne,3393
ABSTAIN,ABSTAIN,3348
Ron Black,Donna Ballantyne,3386
Linda Marlene Eales,ABSTAIN,3393
Ron Black,ABSTAIN,3383
Linda Marlene Eales,Donna Ballantyne,3396
Linda Marlene Eales,Brad Sinclair,3390
ABSTAIN,Donna Ballantyne,3384
Linda Marlene Eales,Brad Sinclair,3391
Linda Marlene Eales,Donna Ballantyne,3391
ABSTAIN,ABSTAIN,3349
ABSTAIN,ABSTAIN,3345
Andy Mitchell,ABSTAIN,3390
Andy Mitchell,Brad Sinclair,3388
Andy Mitchell,Brad Sinclair,3391
Ron Black,Brad Sinclair,3385
Andy Mitchell,ABSTAIN,3391
Andy Mitchell,ABSTAIN,3389
Ron Black,Brad Sinclair,3384
Andy Mitchell,ABSTAIN,3390
Linda Marlene Eales,Donna Ballantyne,3397
ABSTAIN,ABSTAIN,3349
Andy Mitchell,Brad Sinclair,3388
Andy Mitchell,Donna Ballantyne,3388
Ron Black,Donna Ballantyne,3384
Linda Marlene Eales,Brad Sinclair,3390
Ron Black,Brad Sinclair,3384
Linda Marlene Eales,ABSTAIN,3395
Ron Black,Brad Sinclair,3383
Andy Mitchell,ABSTAIN,3389
Andy Mitchell,ABSTAIN,3391
Linda Marlene Eales,Brad Sinclair,3393
ABSTAIN,Brad Sinclair,3387
Linda Marlene Eales,Brad Sinclair,3393
Linda Marlene Eales,Brad Sinclair,3392
Andy Mitchell,ABSTAIN,3390
ABSTAIN,ABSTAIN,3344
Andy Mitchell,ABSTAIN,3389
ABSTAIN,Donna Ballantyne,3387
Linda Marlene Eales,Brad Sinclair,3389
Linda Marlene Eales,ABSTAIN,3392
Ron Black,Brad Sinclair,3383
Linda Marlene Eales,Brad Sinclair,3391
Andy Mitchell,Brad Sinclair,3386
Linda Marlene Eales,Brad Sinclair,3393
ABSTAIN,Donna Ballantyne,3392
ABSTAIN,Donna Ballantyne,3389
Ron Black,Donna Ballantyne,3383
Linda Marlene Eales,ABSTAIN,3392
ABSTAIN,Donna Ballantyne,3389
Andy Mitchell,Donna Ballantyne,3393
Ron Black,ABSTAIN,3384
Ron Black,Brad Sinclair,3384
ABSTAIN,Donna Ballantyne,3385
Linda Marlene Eales,ABSTAIN,3393
Andy Mitchell,ABSTAIN,3389
Linda Marlene Eales,Brad Sinclair,3390
Ron Black,Donna Ballantyne,3387
Andy Mitchell,Donna Ballantyne,3391
Ron Black,ABSTAIN,3385
ABSTAIN,ABSTAIN,3346
Ron Black,Brad Sinclair,3380
Linda Marlene Eales,Brad Sinclair,3394
Andy Mitchell,Donna Ballantyne,3389
Linda Marlene Eales,Brad Sinclair,3390
Ron Black,Donna Ballantyne,3383
Andy Mitchell,ABSTAIN,3389
Andy Mitchell,Brad Sinclair,3385
Andy Mitchell,Donna Ballantyne,3387
Ron Black,Donna Ballantyne,3387
Linda Marlene Eales,Donna Ballantyne,3396
Linda Marlene Eales,Brad Sinclair,3390
ABSTAIN,ABSTAIN,3346
Linda Marlene Eales,Brad Sinclair,3389
Linda Marlene Eales,Brad Sinclair,3389
Ron Black,ABSTAIN,3385
Linda Marlene Eales,Donna Ballantyne,3396
Andy Mitchell,Donna Ballantyne,3390
Ron Black,ABSTAIN,3385
Linda Marlene Eales,Brad Sinclair,3389
Linda Marlene Eales,ABSTAIN,3391
ABSTAIN,ABSTAIN,3349
Linda Marlene Eales,Brad Sinclair,3390
Ron Black,Brad Sinclair,3382
Andy Mitchell,Brad Sinclair,3388
Andy Mitchell,ABSTAIN,3386
Andy Mitchell,ABSTAIN,3386
Linda Marlene Eales,Brad Sinclair,3388
Andy Mitchell,Brad Sinclair,3383
Andy Mitchell,ABSTAIN,3391
Linda Marlene Eales,Brad Sinclair,3390
ABSTAIN,Donna Ballantyne,3388
Andy Mitchell,Donna Ballantyne,3385
Linda Marlene Eales,ABSTAIN,3394
ABSTAIN,Brad Sinclair,3385
Andy Mitchell,Brad Sinclair,3384
Andy Mitchell,ABSTAIN,3390
Linda Marlene Eales,ABSTAIN,3397
Linda Marlene Eales,Donna Ballantyne,3393
ABSTAIN,ABSTAIN,3347
Ron Black,Donna Ballantyne,3384
Ron Black,ABSTAIN,3386
Ron Black,Donna Ballantyne,3384
Andy Mitchell,Brad Sinclair,3386
Andy Mitchell,Donna Ballantyne,3393
Andy Mitchell,Brad Sinclair,3384
Andy Mitchell,ABSTAIN,3390
Andy Mitchell,Donna Ballantyne,3388
ABSTAIN,Donna Ballantyne,3390
Ron Black,Donna Ballantyne,3383
Andy Mitchell,Donna Ballantyne,3386
Linda Marlene Eales,ABSTAIN,3395
Linda Marlene Eales,ABSTAIN,3392
ABSTAIN,Brad Sinclair,3385
Linda Marlene Eales,Donna Ballantyne,3395
Linda Marlene Eales,Donna Ballantyne,3393
ABSTAIN,Brad Sinclair,3384
ABSTAIN,Brad Sinclair,3384
Ron Black,ABSTAIN,3383
ABSTAIN,Donna Ballantyne,3386
Andy Mitchell,ABSTAIN,3389
Linda Marlene Eales,ABSTAIN,3390
Ron Black,ABSTAIN,3387
Andy Mitchell,ABSTAIN,3389
Ron Black,Donna Ballantyne,3386
ABSTAIN,ABSTAIN,3348
Ron Black,Donna Ballantyne,3386
Ron Black,ABSTAIN,3386
Ron Black,ABSTAIN,3386
ABSTAIN,ABSTAIN,3348
Linda Marlene Eales,Brad Sinclair,3390
Andy Mitchell,Donna Ballantyne,3389
ABSTAIN,Brad Sinclair,3386
Linda Marlene Eales,ABSTAIN,3394
Linda Marlene Eales,Donna Ballantyne,3398
Andy Mitchell,Donna Ballantyne,3384
ABSTAIN,Donna Ballantyne,3389
Ron Black,ABSTAIN,3388
ABSTAIN,Donna Ballantyne,3388
Ron Black,ABSTAIN,3387
Linda Marlene Eales,Donna Ballantyne,3393
Linda Marlene Eales,Donna Ballantyne,3396
Andy Mitchell,Brad Sinclair,3386
Ron Black,Brad Sinclair,3382
Ron Black,Brad Sinclair,3385
Andy Mitchell,ABSTAIN,3389
Andy Mitchell,Brad Sinclair,3384
ABSTAIN,Donna Ballantyne,3388
Andy Mitchell,ABSTAIN,3389
Andy Mitchell,Donna Ballantyne,3391
ABSTAIN,ABSTAIN,3346
Ron Black,Brad Sinclair,3382
ABSTAIN,Brad Sinclair,3384
Linda Marlene Eales,Donna Ballantyne,3393
Ron Black,Brad Sinclair,3382
ABSTAIN,Brad Sinclair,3384
ABSTAIN,ABSTAIN,3347
Ron Black,Brad Sinclair,3379
Andy Mitchell,ABSTAIN,3392
Ron Black,ABSTAIN,3386
Ron Black,ABSTAIN,3384
Ron Black,ABSTAIN,3385
Ron Black,ABSTAIN,3385
Ron Black,ABSTAIN,3384
ABSTAIN,Donna Ballantyne,3386
Linda Marlene Eales,ABSTAIN,3394
Linda Marlene Eales,ABSTAIN,3391
ABSTAIN,ABSTAIN,3348
Ron Black,Brad Sinclair,3386
Linda Marlene Eales,Brad Sinclair,3390
Ron Black,ABSTAIN,3384
Linda Marlene Eales,Brad Sinclair,3389
Andy Mitchell,ABSTAIN,3388
Ron Black,Donna Ballantyne,3387
Linda Marlene Eales,ABSTAIN,3394
Linda Marlene Eales,Donna Ballantyne,3391
ABSTAIN,Brad Sinclair,3385
Linda Marlene Eales,Brad Sinclair,3392
Ron Black,Brad Sinclair,3383
Andy Mitchell,Brad Sinclair,3386
Linda Marlene Eales,ABSTAIN,3397
ABSTAIN,Donna Ballantyne,3390
Ron Black,ABSTAIN,3387
Andy Mitchell,Brad Sinclair,3384
Andy Mitchell,Brad Sinclair,3386
ABSTAIN,Brad Sinclair,3386
ABSTAIN,Brad Sinclair,3387
ABSTAIN,Donna Ballantyne,3389
Andy Mitchell,Brad Sinclair,3388
ABSTAIN,Donna Ballantyne,3387
Ron Black,Brad Sinclair,3382
ABSTAIN,Brad Sinclair,3385
Andy Mitchell,Donna Ballantyne,3388
Linda Marlene Eales,Donna Ballantyne,3396
Ron Black,ABSTAIN,3385
ABSTAIN,Donna Ballantyne,3387
Linda Marlene Eales,ABSTAIN,3395
Andy Mitchell,ABSTAIN,3386
Andy Mitchell,Donna Ballantyne,3386
Andy Mitchell,ABSTAIN,3387
Linda Marlene Eales,Brad Sinclair,3390
Linda Marlene Eales,Donna Ballantyne,3396
ABSTAIN,Donna Ballantyne,3388
ABSTAIN,Donna Ballantyne,3386
Ron Black,Donna Ballantyne,3382
Ron Black,ABSTAIN,3386
Ron Black,ABSTAIN,3389
Linda Marlene Eales,ABSTAIN,3394
Ron Black,Donna Ballantyne,3387
Ron Black,Donna Ballantyne,3385
Andy Mitchell,ABSTAIN,3388
Linda Marlene Eales,Brad Sinclair,3395
ABSTAIN,Donna Ballantyne,3389
Andy Mitchell,Donna Ballantyne,3386
Linda Marlene Eales,Brad Sinclair,3395
ABSTAIN,Brad Sinclair,3386
ABSTAIN,Brad Sinclair,3387
Ron Black,Donna Ballantyne,3387
ABSTAIN,Brad Sinclair,3384
ABSTAIN,Donna Ballantyne,3386
ABSTAIN,ABSTAIN,3344
ABSTAIN,Brad Sinclair,3387
Ron Black,ABSTAIN,3383
Ron Black,ABSTAIN,3386
Ron Black,Brad Sinclair,3381
ABSTAIN,ABSTAIN,3346
Andy Mitchell,Donna Ballantyne,3390
Andy Mitchell,Donna Ballantyne,3389
ABSTAIN,ABSTAIN,3347
Ron Black,Brad Sinclair,3380
Linda Marlene Eales,ABSTAIN,3393
ABSTAIN,Brad Sinclair,3385
Andy Mitchell,ABSTAIN,3390
Andy Mitchell,ABSTAIN,3386
ABSTAIN,Brad Sinclair,3385
ABSTAIN,ABSTAIN,3345
Linda Marlene Eales,Donna Ballantyne,3394
Ron Black,Brad Sinclair,3382
Ron Black,Brad Sinclair,3381
ABSTAIN,Donna Ballantyne,3389
Andy Mitchell,ABSTAIN,3389
Ron Black,ABSTAIN,3383
Linda Marlene Eales,Brad Sinclair,3391
Ron Black,Brad Sinclair,3380
Andy Mitchell,Brad Sinclair,3384
Linda Marlene Eales,Donna Ballantyne,3396
Ron Black,ABSTAIN,3387
ABSTAIN,ABSTAIN,3347
Ron Black,Brad Sinclair,3386
Ron Black,ABSTAIN,3384
Ron Black,Donna Ballantyne,3382
Linda Marlene Eales,Donna Ballantyne,3397
Linda Marlene Eales,Brad Sinclair,3392
Linda Marlene Eales,ABSTAIN,3394
Ron Black,ABSTAIN,3385
Linda Marlene Eales,ABSTAIN,3395
Andy Mitchell,Donna Ballantyne,3387
Andy Mitchell,Donna Ballantyne,3384
Ron Black,Donna Ballantyne,3385
Linda Marlene Eales,ABSTAIN,3393
Ron Black,ABSTAIN,3388
ABSTAIN,ABSTAIN,3345
ABSTAIN,ABSTAIN,3346
Linda Marlene Eales,ABSTAIN,3391
Linda Marlene Eales,ABSTAIN,3395
Andy Mitchell,Brad Sinclair,3386
ABSTAIN,ABSTAIN,3345
ABSTAIN,Donna Ballantyne,3387
Linda Marlene Eales,Brad Sinclair,3390
ABSTAIN,Donna Ballantyne,3387
Andy Mitchell,Donna Ballantyne,3390
Andy Mitchell,Brad Sinclair,3385
Linda Marlene Eales,ABSTAIN,3394
Linda Marlene Eales,Donna Ballantyne,3393
Linda Marlene Eales,Brad Sinclair,3391
Ron Black,Brad Sinclair,3383
Andy Mitchell,ABSTAIN,3388
Ron Black,Donna Ballantyne,3385
Andy Mitchell,Brad Sinclair,3384
Ron Black,ABSTAIN,3384
Ron Black,Brad Sinclair,3385
Andy Mitchell,Donna Ballantyne,3390
Linda Marlene Eales,Donna Ballantyne,3392
ABSTAIN,Brad Sinclair,3391
ABSTAIN,Donna Ballantyne,3387
Linda Marlene Eales,Donna Ballantyne,3392
ABSTAIN,ABSTAIN,3350
ABSTAIN,ABSTAIN,3347
ABSTAIN,Brad Sinclair,3389
Linda Marlene Eales,Donna Ballantyne,3396
Linda Marlene Eales,ABSTAIN,3393
Linda Marlene Eales,ABSTAIN,3395
ABSTAIN,Donna Ballantyne,3388
Ron Black,Brad Sinclair,3381
Ron Black,Brad Sinclair,3382
Andy Mitchell,ABSTAIN,3389
Andy Mitchell,Brad Sinclair,3387
Andy Mitchell,ABSTAIN,3389
Andy Mitchell,ABSTAIN,3392
Ron Black,ABSTAIN,3385
Ron Black,ABSTAIN,3385
ABSTAIN,Donna Ballantyne,3387
Ron Black,Donna Ballantyne,3383
ABSTAIN,Brad Sinclair,3385
Andy Mitchell,Donna Ballantyne,3387
ABSTAIN,ABSTAIN,3346
ABSTAIN,Donna Ballantyne,3386
Andy Mitchell,Brad Sinclair,3385
Ron Black,ABSTAIN,3384
Ron Black,ABSTAIN,3386
Andy Mitchell,Brad Sinclair,3388
Ron Black,Brad Sinclair,3382
ABSTAIN,Brad Sinclair,3383
Andy Mitchell,Brad Sinclair,3387
Linda Marlene Eales,Brad Sinclair,3389
Ron Black,Brad Sinclair,3381
Linda Marlene Eales,Donna Ballantyne,3394
Andy Mitchell,Brad Sinclair,3385
Linda Marlene Eales,Brad Sinclair,3392
Andy Mitchell,Brad Sinclair,3383
Andy Mitchell,Brad Sinclair,3385
ABSTAIN,ABSTAIN,3346
Ron Black,Donna Ballantyne,3383
Linda Marlene Eales,Donna Ballantyne,3390
ABSTAIN,ABSTAIN,3348
Linda Marlene Eales,Donna Ballantyne,3389
Ron Black,Donna Ballantyne,3382
ABSTAIN,Brad Sinclair,3385
Linda Marlene Eales,Brad Sinclair,3392
Andy Mitchell,ABSTAIN,3390
Linda Marlene Eales,ABSTAIN,3394
Linda Marlene Eales,Brad Sinclair,3389
ABSTAIN,Donna Ballantyne,3385
ABSTAIN,Donna Ballantyne,3385
Ron Black,ABSTAIN,3384
Ron Black,Brad Sinclair,3380
Ron Black,ABSTAIN,3379
Andy Mitchell,Brad Sinclair,3387
ABSTAIN,ABSTAIN,3347
ABSTAIN,ABSTAIN,3344
Andy Mitchell,ABSTAIN,3387
Linda Marlene Eales,Donna Ballantyne,3395
Linda Marlene Eales,Brad Sinclair,3388
Andy Mitchell,Brad Sinclair,3384
Andy Mitchell,Donna Ballantyne,3384
Linda Marlene Eales,Donna Ballantyne,3391
ABSTAIN,ABSTAIN,3347
Andy Mitchell,Brad Sinclair,3385
Andy Mitchell,ABSTAIN,3384
Ron Black,ABSTAIN,3386
ABSTAIN,ABSTAIN,3346
Linda Marlene Eales,ABSTAIN,3393
Linda Marlene Eales,Donna Ballantyne,3391
Ron Black,Donna Ballantyne,3384
Linda Marlene Eales,Donna Ballantyne,3394
Ron Black,Brad Sinclair,3384
Andy Mitchell,Donna Ballantyne,3392
Ron Black,Donna Ballantyne,3386
ABSTAIN,Brad Sinclair,3387
ABSTAIN,Brad Sinclair,3388
ABSTAIN,Donna Ballantyne,3393
ABSTAIN,Donna Ballantyne,3388
Ron Black,ABSTAIN,3390
Linda Marlene Eales,ABSTAIN,3395
Linda Marlene Eales,Donna Ballantyne,3400
Linda Marlene Eales,Donna Ballantyne,3395
Andy Mitchell,Donna Ballantyne,3388
Linda Marlene Eales,Donna Ballantyne,3395
Linda Marlene Eales,Donna Ballantyne,3400
Ron Black,ABSTAIN,3385
Ron Black,ABSTAIN,3387
Andy Mitchell,ABSTAIN,3393
Ron Black,ABSTAIN,3386
ABSTAIN,Donna Ballantyne,3388
Ron Black,Brad Sinclair,3385
ABSTAIN,ABSTAIN,3346
Linda Marlene Eales,Donna Ballantyne,3391
Andy Mitchell,ABSTAIN,3388
Andy Mitchell,ABSTAIN,3390
Ron Black,ABSTAIN,3383
Ron Black,Brad Sinclair,3382
Andy Mitchell,Brad Sinclair,3388
ABSTAIN,Brad Sinclair,3385
Ron Black,ABSTAIN,3387
Ron Black,ABSTAIN,3385
Andy Mitchell,Brad Sinclair,3385
Ron Black,ABSTAIN,3385
Linda Marlene Eales,ABSTAIN,3393
Linda Marlene Eales,Donna Ballantyne,3394
Ron Black,Brad Sinclair,3382
Ron Black,ABSTAIN,3388
Ron Black,Donna Ballantyne,3389
Ron Black,Brad Sinclair,3383
Ron Black,Brad Sinclair,3384
ABSTAIN,Donna Ballantyne,3389
Linda Marlene Eales,Brad Sinclair,3391
ABSTAIN,Donna Ballantyne,3389
Linda Marlene Eales,ABSTAIN,3394
Ron Black,Brad Sinclair,3385
Linda Marlene Eales,Donna Ballantyne,3395
ABSTAIN,ABSTAIN,3345
Andy Mitchell,ABSTAIN,3391
Linda Marlene Eales,Donna Ballantyne,3394
Ron Black,Donna Ballantyne,3387
ABSTAIN,Brad Sinclair,3388
Linda Marlene Eales,ABSTAIN,3397
Andy Mitchell,Donna Ballantyne,3387
ABSTAIN,ABSTAIN,3347
Andy Mitchell,Brad Sinclair,3387
Ron Black,Donna Ballantyne,3382
Ron Black,Donna Ballantyne,3387
Andy Mitchell,ABSTAIN,3388
